[2025-03-30 15:12:59,597] 🔵 Starting session for USR-b915049f141b4f3da980b342992267d8
[2025-03-30 15:13:00,972] 🔵 Starting session for USR-e740a73b11214c7eb6b39c1eca927fa7
[2025-03-30 15:13:01,657] ⏸️ Skipping USR-b915049f141b4f3da980b342992267d8 — session already running
[2025-03-30 15:13:02,528] 🔵 Starting session for USR-12a1063489d8403bae282b33798ef6e7
[2025-03-30 15:13:03,222] 🔵 Starting session for USR-f7729af7abae4ff7896e0a3316915232
[2025-03-30 15:13:04,176] 🔵 Starting session for USR-d81356b7147d4129b1d714f080e30485
[2025-03-30 15:13:04,677] 🔵 Starting session for USR-255455ffb0bf435b9537e87b8d2a8f68
[2025-03-30 15:13:05,306] 🔵 Starting session for USR-7a9d53b164834096912dacf0b1570f23
[2025-03-30 15:13:06,506] 🔵 Starting session for USR-1f012366803c4b0984f1a9e7a3079328
[2025-03-30 15:13:07,796] 🔵 Starting session for USR-aff88370cfc54043b8ce28043fc27abe
[2025-03-30 15:13:08,547] 🔵 Starting session for USR-1d6ecabb911d478caac90151fd9bd6a0
[2025-03-30 15:13:09,438] 🔵 Starting session for USR-3c718d760e9f4417ab81b5d368a69320
[2025-03-30 15:13:10,387] 🔵 Starting session for USR-989cec96403f4559898c5ff0e9ed654b
[2025-03-30 15:13:11,387] 🔵 Starting session for USR-e5ac60b0dc3341808191477b7c4ad332
[2025-03-30 15:13:11,440] 🚀 USR-3c718d760e9f4417ab81b5d368a69320 actions log in session 0
[2025-03-30 15:13:11,441] 🖱️ Mouse hovered for: 0.24s
[2025-03-30 15:13:11,441] 📜 Scrolled for: 0.63s
[2025-03-30 15:13:11,441] 🛒 Viewed cart for: 0.57s
[2025-03-30 15:13:11,441] ✅ Cart checkout time: 0.4s
[2025-03-30 15:13:11,441] 💳 Payment time: 0.0s
[2025-03-30 15:13:12,205] 🔵 Starting session for USR-4aba95d72a3342eea4ad5383b137e04c
