[2025-03-30 15:12:59,579] 🔵 Starting session for USR-fe4a41ae047940b381e02a1622aee859
[2025-03-30 15:13:01,006] 🔵 Starting session for USR-f68f406b8fd8460eab631c2bd3a81f87
[2025-03-30 15:13:02,243] 🔵 Starting session for USR-2e54aff8cfc5480fa7768af0b4f4ae19
[2025-03-30 15:13:03,189] 🔵 Starting session for USR-76d6426c9a114382ab101a1c4674859b
[2025-03-30 15:13:03,697] 🔵 Starting session for USR-323dfa3fd6564691a798b48df9507513
[2025-03-30 15:13:04,744] 🔵 Starting session for USR-dd8d4ff6f1f64dafabed4ff39be33dd9
[2025-03-30 15:13:05,252] 🔵 Starting session for USR-36428824bd8e48fc9de3048cb8863154
[2025-03-30 15:13:06,537] 🔵 Starting session for USR-4753f9332cc248bf8004e2e64d44c172
[2025-03-30 15:13:07,596] ⏸️ Skipping USR-36428824bd8e48fc9de3048cb8863154 — session already running
[2025-03-30 15:13:08,970] 🔵 Starting session for USR-f485d140de2d4c41878410cce8d21cfa
[2025-03-30 15:13:09,905] 🔵 Starting session for USR-7c4469e8efcb4385bf08d9b3e39ef315
[2025-03-30 15:13:10,825] 🔵 Starting session for USR-9081600f559248a5b64c1c176f3b7270
[2025-03-30 15:13:11,699] ⏸️ Skipping USR-dd8d4ff6f1f64dafabed4ff39be33dd9 — session already running
[2025-03-30 15:13:12,245] 🔵 Starting session for USR-7f73990b80ac44ae8a7c3e62e4b63855
[2025-03-30 15:13:13,178] 🔵 Starting session for USR-5dd8a06e5ba04347baea25fc1fb1e5d5
[2025-03-30 15:13:13,741] 🔵 Starting session for USR-e3011c1d9aa64731856ef96c04356ded
[2025-03-30 15:13:14,843] 🔵 Starting session for USR-e0fb599731eb442e9edcbd18f236872f
[2025-03-30 15:13:16,130] 🔵 Starting session for USR-48640e6ca95f495291e19985125a1b56
[2025-03-30 15:13:16,883] 🔵 Starting session for USR-c764364406e7428cab2ee55ec9e10da3
[2025-03-30 15:13:18,106] 🔵 Starting session for USR-e9fb59435046470089abf627dde2927e
[2025-03-30 15:13:18,135] 🚀 USR-48640e6ca95f495291e19985125a1b56 actions log in session 0
[2025-03-30 15:13:18,135] 🖱️ Mouse hovered for: 0.07s
[2025-03-30 15:13:18,135] 📜 Scrolled for: 0.2s
[2025-03-30 15:13:18,135] 🛒 Viewed cart for: 0.94s
[2025-03-30 15:13:18,135] ✅ Cart checkout time: 0.79s
[2025-03-30 15:13:18,135] 💳 Payment time: 0.0s
[2025-03-30 15:13:18,618] 🔵 Starting session for USR-2f9254476bfa44d1bca4762acde3b692
[2025-03-30 15:13:19,950] 🔵 Starting session for USR-1e003afd27024383a237147f22f93964
[2025-03-30 15:13:21,034] 🔵 Starting session for USR-35664f28fe104e72b9524a9346c1f2e9
[2025-03-30 15:13:21,801] ⏸️ Skipping USR-e9fb59435046470089abf627dde2927e — session already running
[2025-03-30 15:13:22,407] 🔵 Starting session for USR-fef424af019145879d6e56d6c3b0d17a
[2025-03-30 15:13:23,137] 🕒 USR-48640e6ca95f495291e19985125a1b56 finished session 0
[2025-03-30 15:13:23,822] ⏸️ Skipping USR-e9fb59435046470089abf627dde2927e — session already running
[2025-03-30 15:13:24,357] ⏸️ Skipping USR-e3011c1d9aa64731856ef96c04356ded — session already running
[2025-03-30 15:13:25,247] 🚀 USR-7f73990b80ac44ae8a7c3e62e4b63855 actions log in session 0
[2025-03-30 15:13:25,247] 🖱️ Mouse hovered for: 0.22s
[2025-03-30 15:13:25,247] 📜 Scrolled for: 4.28s
[2025-03-30 15:13:25,247] 🛒 Viewed cart for: 4.48s
[2025-03-30 15:13:25,247] ✅ Cart checkout time: 3.56s
[2025-03-30 15:13:25,247] 💳 Payment time: 0.45s
[2025-03-30 15:13:25,446] 🔵 Starting session for USR-072c108e88694b9f87746b99ba5e9a83
[2025-03-30 15:13:25,973] 🚀 USR-f485d140de2d4c41878410cce8d21cfa actions log in session 0
[2025-03-30 15:13:25,973] 🖱️ Mouse hovered for: 1.88s
