[2025-03-30 15:12:59,579] 🔵 Starting session for USR-32adad22b0644fd1a6f8ea8602d450c4
[2025-03-30 15:13:00,199] 🔵 Starting session for USR-850e1e7d8bcf451a82b6687b0dd138fe
[2025-03-30 15:13:01,314] 🔵 Starting session for USR-0242535909c14695a641841bfb05899d
[2025-03-30 15:13:01,962] 🔵 Starting session for USR-699b31b745054539ae0757f2e3286572
[2025-03-30 15:13:03,423] 🔵 Starting session for USR-ceb5ed160fb94aa1b7408c4522ab2d20
[2025-03-30 15:13:04,373] 🔵 Starting session for USR-841669224068451bb15f19d7bf8db05f
[2025-03-30 15:13:05,237] 🔵 Starting session for USR-fd9650a2905a45b1a54e5800fcd9968b
[2025-03-30 15:13:06,057] 🔵 Starting session for USR-557e6ce5d83a421588cd8fee2fd8133e
[2025-03-30 15:13:06,587] 🚀 USR-32adad22b0644fd1a6f8ea8602d450c4 actions log in session 0
[2025-03-30 15:13:06,587] 🖱️ Mouse hovered for: 0.22s
[2025-03-30 15:13:06,587] 📜 Scrolled for: 6.02s
[2025-03-30 15:13:06,587] 🛒 Viewed cart for: 0.75s
[2025-03-30 15:13:06,588] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:06,588] 💳 Payment time: 0.0s
[2025-03-30 15:13:07,125] 🔵 Starting session for USR-30692d2b7abf42e4b0c2a8277d9689a9
[2025-03-30 15:13:08,007] 🔵 Starting session for USR-033186f3feb347ec927572dbc89380ec
[2025-03-30 15:13:08,647] 🔵 Starting session for USR-7836afec3a52441cad6f99425228b767
[2025-03-30 15:13:09,467] ⏸️ Skipping USR-7836afec3a52441cad6f99425228b767 — session already running
[2025-03-30 15:13:09,963] 🚀 USR-699b31b745054539ae0757f2e3286572 actions log in session 0
[2025-03-30 15:13:09,964] 🖱️ Mouse hovered for: 0.15s
[2025-03-30 15:13:09,964] 📜 Scrolled for: 2.34s
[2025-03-30 15:13:09,964] 🛒 Viewed cart for: 4.9s
[2025-03-30 15:13:09,964] ✅ Cart checkout time: 0.49s
[2025-03-30 15:13:09,964] 💳 Payment time: 0.0s
[2025-03-30 15:13:10,638] 🔵 Starting session for USR-125442431cf04677b924869dfbc1de1b
[2025-03-30 15:13:11,925] 🔵 Starting session for USR-52d50debede44fc98376f62e72ef9902
[2025-03-30 15:13:13,157] 🔵 Starting session for USR-db60d99c478e4024a0b114ae27eb9ca6
[2025-03-30 15:13:13,648] 🚀 USR-7836afec3a52441cad6f99425228b767 actions log in session 0
[2025-03-30 15:13:13,648] 🖱️ Mouse hovered for: 0.88s
[2025-03-30 15:13:13,648] 📜 Scrolled for: 1.67s
[2025-03-30 15:13:13,649] 🛒 Viewed cart for: 2.45s
[2025-03-30 15:13:13,649] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:13,649] 💳 Payment time: 0.0s
[2025-03-30 15:13:13,993] 🔵 Starting session for USR-a3c0193c07f548c488646c10b1e11ed6
[2025-03-30 15:13:15,262] ⏸️ Skipping USR-7836afec3a52441cad6f99425228b767 — session already running
[2025-03-30 15:13:16,173] 🔵 Starting session for USR-746e685037b1446ca36e64b01f25b366
[2025-03-30 15:13:17,061] 🔵 Starting session for USR-2c267b5066214d2ab845e724c13ebfa3
[2025-03-30 15:13:17,376] 🚀 USR-841669224068451bb15f19d7bf8db05f actions log in session 0
[2025-03-30 15:13:17,377] 🖱️ Mouse hovered for: 1.23s
[2025-03-30 15:13:17,377] 📜 Scrolled for: 7.23s
[2025-03-30 15:13:17,377] 🛒 Viewed cart for: 4.54s
[2025-03-30 15:13:17,377] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:17,377] 💳 Payment time: 0.0s
[2025-03-30 15:13:17,939] 🔵 Starting session for USR-b3c4620733c94f6499bad6b8c7516c48
[2025-03-30 15:13:18,642] 🚀 USR-125442431cf04677b924869dfbc1de1b actions log in session 0
[2025-03-30 15:13:18,642] 🖱️ Mouse hovered for: 0.21s
[2025-03-30 15:13:18,642] 📜 Scrolled for: 0.84s
[2025-03-30 15:13:18,642] 🛒 Viewed cart for: 1.8s
[2025-03-30 15:13:18,642] ✅ Cart checkout time: 5.0s
[2025-03-30 15:13:18,642] 💳 Payment time: 0.0s
[2025-03-30 15:13:19,018] ⏸️ Skipping USR-0242535909c14695a641841bfb05899d — session already running
[2025-03-30 15:13:20,314] 🔵 Starting session for USR-b61976f92fe34ac2a213c7c941f76f47
[2025-03-30 15:13:21,447] 🔵 Starting session for USR-1648e341bd9e435981070c05e1186520
[2025-03-30 15:13:22,127] 🚀 USR-30692d2b7abf42e4b0c2a8277d9689a9 actions log in session 0
[2025-03-30 15:13:22,127] 🖱️ Mouse hovered for: 0.28s
[2025-03-30 15:13:22,127] 📜 Scrolled for: 1.99s
[2025-03-30 15:13:22,127] 🛒 Viewed cart for: 7.03s
[2025-03-30 15:13:22,127] ✅ Cart checkout time: 5.49s
[2025-03-30 15:13:22,127] 💳 Payment time: 0.2s
[2025-03-30 15:13:22,582] 🔵 Starting session for USR-25e86e01cc08468399e77a9e7d48ffda
[2025-03-30 15:13:23,838] 🔵 Starting session for USR-dea292912366416289aab4e3cb349b91
[2025-03-30 15:13:23,926] 🚀 USR-52d50debede44fc98376f62e72ef9902 actions log in session 0
[2025-03-30 15:13:23,927] 🖱️ Mouse hovered for: 0.82s
[2025-03-30 15:13:23,927] 📜 Scrolled for: 5.33s
[2025-03-30 15:13:23,927] 🛒 Viewed cart for: 0.83s
[2025-03-30 15:13:23,927] ✅ Cart checkout time: 4.25s
[2025-03-30 15:13:23,927] 💳 Payment time: 0.0s
[2025-03-30 15:13:25,315] 🔵 Starting session for USR-2a24281992b54706946c0098c4d7d2b3
[2025-03-30 15:13:26,216] 🔵 Starting session for USR-4ee857a40c1f458786ff26082b0d49db
[2025-03-30 15:13:27,097] 🔵 Starting session for USR-b66c998371204c149fe55aec6aebdb62
[2025-03-30 15:13:27,750] ⏸️ Skipping USR-746e685037b1446ca36e64b01f25b366 — session already running
[2025-03-30 15:13:27,942] 🚀 USR-b3c4620733c94f6499bad6b8c7516c48 actions log in session 0
[2025-03-30 15:13:27,943] 🖱️ Mouse hovered for: 0.85s
[2025-03-30 15:13:27,943] 📜 Scrolled for: 2.63s
[2025-03-30 15:13:27,943] 🛒 Viewed cart for: 6.52s
[2025-03-30 15:13:27,943] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:27,943] 💳 Payment time: 0.0s
[2025-03-30 15:13:29,064] 🚀 USR-2c267b5066214d2ab845e724c13ebfa3 actions log in session 0
[2025-03-30 15:13:29,065] 🖱️ Mouse hovered for: 1.59s
[2025-03-30 15:13:29,065] 📜 Scrolled for: 2.8s
[2025-03-30 15:13:29,065] 🛒 Viewed cart for: 4.39s
[2025-03-30 15:13:29,065] ✅ Cart checkout time: 2.35s
[2025-03-30 15:13:29,065] 💳 Payment time: 0.0s
[2025-03-30 15:13:29,085] 🔵 Starting session for USR-53bc14b7bcdc4e6ba2fcd37689927ca8
[2025-03-30 15:13:30,108] 🔵 Starting session for USR-4d85140150d54f19ab9c617dad9b2dbd
[2025-03-30 15:13:31,316] 🚀 USR-b61976f92fe34ac2a213c7c941f76f47 actions log in session 0
[2025-03-30 15:13:31,316] 🖱️ Mouse hovered for: 1.59s
[2025-03-30 15:13:31,316] 📜 Scrolled for: 3.53s
[2025-03-30 15:13:31,316] 🛒 Viewed cart for: 4.98s
[2025-03-30 15:13:31,316] ✅ Cart checkout time: 0.58s
[2025-03-30 15:13:31,316] 💳 Payment time: 0.31s
[2025-03-30 15:13:31,521] 🔵 Starting session for USR-397e752910ff444588c30f9cde3e8486
[2025-03-30 15:13:32,543] 🔵 Starting session for USR-eb6b8c0a734f471daeb6ffc061091491
[2025-03-30 15:13:33,489] 🔵 Starting session for USR-0dca31fac96f47b395dc0d63eeb0b63d
[2025-03-30 15:13:34,618] ⏸️ Skipping USR-dea292912366416289aab4e3cb349b91 — session already running
[2025-03-30 15:13:35,816] ⏸️ Skipping USR-033186f3feb347ec927572dbc89380ec — session already running
[2025-03-30 15:13:36,943] 🔵 Starting session for USR-00cf760a06054da986658b8ca0763824
[2025-03-30 15:13:36,995] 🚀 USR-a3c0193c07f548c488646c10b1e11ed6 actions log in session 0
[2025-03-30 15:13:36,996] 🖱️ Mouse hovered for: 2.52s
[2025-03-30 15:13:36,996] 📜 Scrolled for: 2.56s
[2025-03-30 15:13:36,996] 🛒 Viewed cart for: 15.0s
[2025-03-30 15:13:36,996] ✅ Cart checkout time: 2.64s
[2025-03-30 15:13:36,996] 💳 Payment time: 0.0s
[2025-03-30 15:13:37,728] 🔵 Starting session for USR-0ab19a312eac4dd48525fc5618ff7306
[2025-03-30 15:13:38,059] 🚀 USR-557e6ce5d83a421588cd8fee2fd8133e actions log in session 0
[2025-03-30 15:13:38,059] 🖱️ Mouse hovered for: 0.78s
[2025-03-30 15:13:38,059] 📜 Scrolled for: 12.26s
[2025-03-30 15:13:38,059] 🛒 Viewed cart for: 5.0s
[2025-03-30 15:13:38,059] ✅ Cart checkout time: 13.11s
[2025-03-30 15:13:38,059] 💳 Payment time: 0.0s
[2025-03-30 15:13:38,572] 🔵 Starting session for USR-0e844d128bb34b679be5baefa49f877c
[2025-03-30 15:13:39,784] 🔵 Starting session for USR-0c6182a664294b959eeb62274e8b70dc
[2025-03-30 15:13:41,035] ⏸️ Skipping USR-0e844d128bb34b679be5baefa49f877c — session already running
[2025-03-30 15:13:41,425] 🚀 USR-ceb5ed160fb94aa1b7408c4522ab2d20 actions log in session 0
[2025-03-30 15:13:41,425] 🖱️ Mouse hovered for: 2.76s
[2025-03-30 15:13:41,425] 📜 Scrolled for: 9.99s
[2025-03-30 15:13:41,425] 🛒 Viewed cart for: 17.12s
[2025-03-30 15:13:41,425] ✅ Cart checkout time: 7.24s
