[2025-03-30 15:12:59,601] 🔵 Starting session for USR-b9ca766a22164a99856674558a9eecaa
[2025-03-30 15:13:00,914] 🔵 Starting session for USR-0a425e1f4c1d4ad6a9ceb0f24b78794b
[2025-03-30 15:13:01,610] 🔵 Starting session for USR-219438faab1847c79b5612f0ef4c658e
[2025-03-30 15:13:02,158] 🔵 Starting session for USR-e0fb89eca5e640fb8eab2fd6f823bd22
[2025-03-30 15:13:02,933] 🔵 Starting session for USR-ae3d64d6ff8540969f8b213618446eaa
[2025-03-30 15:13:03,497] 🔵 Starting session for USR-8a5835fce36c42c3a2dfc75fb8bd6188
[2025-03-30 15:13:04,438] 🔵 Starting session for USR-7c4fa5f9afa3455f961563cc86774f06
[2025-03-30 15:13:05,149] 🔵 Starting session for USR-56b34844425045a2bf2890530caa5b47
[2025-03-30 15:13:05,615] 🚀 USR-219438faab1847c79b5612f0ef4c658e actions log in session 0
[2025-03-30 15:13:05,615] 🖱️ Mouse hovered for: 0.67s
[2025-03-30 15:13:05,615] 📜 Scrolled for: 1.25s
[2025-03-30 15:13:05,615] 🛒 Viewed cart for: 2.08s
[2025-03-30 15:13:05,615] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:05,615] 💳 Payment time: 0.0s
[2025-03-30 15:13:06,632] 🔵 Starting session for USR-5993c7a862294e4b8070bb8c8d70c4fb
[2025-03-30 15:13:07,335] 🔵 Starting session for USR-623cf23bca494465b354a8cd09cc6a02
[2025-03-30 15:13:08,829] 🔵 Starting session for USR-8f3c00e923ca426ca36b5fea62fc9c13
[2025-03-30 15:13:09,802] 🔵 Starting session for USR-6bae3164f1c448819551384f6fe15ad4
[2025-03-30 15:13:10,441] 🚀 USR-7c4fa5f9afa3455f961563cc86774f06 actions log in session 0
[2025-03-30 15:13:10,441] 🖱️ Mouse hovered for: 1.07s
[2025-03-30 15:13:10,441] 📜 Scrolled for: 2.0s
[2025-03-30 15:13:10,441] 🛒 Viewed cart for: 1.57s
[2025-03-30 15:13:10,441] ✅ Cart checkout time: 1.03s
[2025-03-30 15:13:10,442] 💳 Payment time: 0.33s
[2025-03-30 15:13:11,158] 🔵 Starting session for USR-11fcaa0ec124440f9a93c65439e32c4a
[2025-03-30 15:13:11,935] 🚀 USR-ae3d64d6ff8540969f8b213618446eaa actions log in session 0
[2025-03-30 15:13:11,935] 🖱️ Mouse hovered for: 1.48s
[2025-03-30 15:13:11,935] 📜 Scrolled for: 2.23s
[2025-03-30 15:13:11,935] 🛒 Viewed cart for: 5.29s
[2025-03-30 15:13:11,935] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:11,935] 💳 Payment time: 0.0s
[2025-03-30 15:13:12,630] 🔵 Starting session for USR-e318f9d0ab06464c8e8d9aeaa2614db8
[2025-03-30 15:13:13,572] 🔵 Starting session for USR-38221af142f84385bdf30f70a7d89b6c
[2025-03-30 15:13:13,806] 🚀 USR-6bae3164f1c448819551384f6fe15ad4 actions log in session 0
[2025-03-30 15:13:13,806] 🖱️ Mouse hovered for: 0.77s
[2025-03-30 15:13:13,806] 📜 Scrolled for: 0.77s
[2025-03-30 15:13:13,806] 🛒 Viewed cart for: 1.16s
[2025-03-30 15:13:13,806] ✅ Cart checkout time: 1.2s
[2025-03-30 15:13:13,807] 💳 Payment time: 0.0s
[2025-03-30 15:13:14,837] 🔵 Starting session for USR-d07fd53fa7fc485d8aa9f331d49c1ce5
[2025-03-30 15:13:15,664] ⏸️ Skipping USR-ae3d64d6ff8540969f8b213618446eaa — session already running
[2025-03-30 15:13:16,233] ⏸️ Skipping USR-219438faab1847c79b5612f0ef4c658e — session already running
[2025-03-30 15:13:17,152] 🚀 USR-56b34844425045a2bf2890530caa5b47 actions log in session 0
[2025-03-30 15:13:17,152] 🖱️ Mouse hovered for: 0.17s
[2025-03-30 15:13:17,153] 📜 Scrolled for: 4.29s
[2025-03-30 15:13:17,153] 🛒 Viewed cart for: 1.88s
[2025-03-30 15:13:17,153] ✅ Cart checkout time: 5.5s
[2025-03-30 15:13:17,153] 💳 Payment time: 0.16s
[2025-03-30 15:13:17,243] 🔵 Starting session for USR-68bd92c359864b4db701f37e18d8862c
[2025-03-30 15:13:18,663] 🔵 Starting session for USR-2c91e21436964809b467654079967cf4
[2025-03-30 15:13:19,159] 🚀 USR-11fcaa0ec124440f9a93c65439e32c4a actions log in session 0
[2025-03-30 15:13:19,160] 🖱️ Mouse hovered for: 0.47s
[2025-03-30 15:13:19,160] 📜 Scrolled for: 3.04s
[2025-03-30 15:13:19,160] 🛒 Viewed cart for: 2.01s
[2025-03-30 15:13:19,160] ✅ Cart checkout time: 1.98s
[2025-03-30 15:13:19,160] 💳 Payment time: 0.0s
[2025-03-30 15:13:19,514] ⏸️ Skipping USR-11fcaa0ec124440f9a93c65439e32c4a — session already running
[2025-03-30 15:13:20,307] ⏸️ Skipping USR-ae3d64d6ff8540969f8b213618446eaa — session already running
[2025-03-30 15:13:21,678] 🔵 Starting session for USR-49ae806a2a8f480cbe38c368b9d3e249
[2025-03-30 15:13:22,525] 🔵 Starting session for USR-0508546bb85a4efaa134ab68118a8aee
[2025-03-30 15:13:23,338] 🚀 USR-623cf23bca494465b354a8cd09cc6a02 actions log in session 0
