[2025-03-30 15:12:59,595] 🔵 Starting session for USR-ed68fbab32474d69a69e14f0327806f1
[2025-03-30 15:13:00,700] 🔵 Starting session for USR-de6bb57cdc6048688db460bed70e3e65
[2025-03-30 15:13:02,156] 🔵 Starting session for USR-581e4d241c8f41dea2e502e76082e470
[2025-03-30 15:13:03,454] 🔵 Starting session for USR-901551cb295f4cafb2fd62b43af33859
[2025-03-30 15:13:04,109] 🔵 Starting session for USR-242ace77769844169f472a3475e699fd
[2025-03-30 15:13:04,980] 🔵 Starting session for USR-8bc79e5653c6426c8299339b76ee4b30
[2025-03-30 15:13:05,882] 🔵 Starting session for USR-3eb8317c25164b96b6fd77050ca81701
[2025-03-30 15:13:06,405] 🔵 Starting session for USR-51e36459e8a64fa591b237a4a37a44b7
[2025-03-30 15:13:07,675] 🔵 Starting session for USR-5d3647f95d8e4cbfa0c342345b793079
[2025-03-30 15:13:08,771] 🔵 Starting session for USR-7f787c74c08348bf9e2ad3054db0f6be
[2025-03-30 15:13:09,890] 🚀 USR-3eb8317c25164b96b6fd77050ca81701 actions log in session 0
[2025-03-30 15:13:09,891] 🖱️ Mouse hovered for: 0.3s
[2025-03-30 15:13:09,891] 📜 Scrolled for: 0.43s
[2025-03-30 15:13:09,891] 🛒 Viewed cart for: 2.08s
[2025-03-30 15:13:09,891] ✅ Cart checkout time: 1.18s
[2025-03-30 15:13:09,891] 💳 Payment time: 0.0s
[2025-03-30 15:13:10,072] 🔵 Starting session for USR-01b8b278811644e18f309aa8c9a78b91
[2025-03-30 15:13:11,304] 🔵 Starting session for USR-7892c9c177e34a7aab562744f332f43d
[2025-03-30 15:13:12,645] 🔵 Starting session for USR-c902de6955ef4b3095f592bf210fcbf2
[2025-03-30 15:13:13,503] 🔵 Starting session for USR-497c9a88d0224e2487f3ad21af735145
[2025-03-30 15:13:14,354] 🔵 Starting session for USR-b8e73ce926594d4f8f44e520d4a2bfe9
[2025-03-30 15:13:15,338] 🔵 Starting session for USR-843da03dd4d848a3bf9ea66d5d62d592
[2025-03-30 15:13:16,484] 🔵 Starting session for USR-645facd7641941c485eeccbce2394695
[2025-03-30 15:13:17,760] 🔵 Starting session for USR-36c7b2d942614e529550a9eac1a7f854
[2025-03-30 15:13:18,835] 🔵 Starting session for USR-a1bce2f7cf074ebbac36cb53a062a28e
[2025-03-30 15:13:19,746] 🔵 Starting session for USR-2342d652c0f344db9553db899cbdea2c
[2025-03-30 15:13:20,907] 🔵 Starting session for USR-69d12cbbac23404184746acf57576eaa
[2025-03-30 15:13:21,703] 🔵 Starting session for USR-0122895ac6c34aca89c63029fd9d2817
[2025-03-30 15:13:22,112] 🚀 USR-242ace77769844169f472a3475e699fd actions log in session 0
[2025-03-30 15:13:22,112] 🖱️ Mouse hovered for: 0.38s
[2025-03-30 15:13:22,112] 📜 Scrolled for: 8.76s
[2025-03-30 15:13:22,112] 🛒 Viewed cart for: 8.86s
