[2025-03-30 15:12:59,607] 🔵 Starting session for USR-9943038185314ad0880ab148ca6fad62
[2025-03-30 15:13:00,601] 🔵 Starting session for USR-09857582c8bb48dd9aa1fea0464f0594
[2025-03-30 15:13:01,749] 🔵 Starting session for USR-d74352129850480b90b1e0e081ad0581
[2025-03-30 15:13:02,523] ⏸️ Skipping USR-d74352129850480b90b1e0e081ad0581 — session already running
[2025-03-30 15:13:03,046] 🔵 Starting session for USR-53fdbc7bd29147049bf60a7efdbec39e
[2025-03-30 15:13:04,279] 🔵 Starting session for USR-d561f72b33a041aaa0ee09ce87873881
[2025-03-30 15:13:05,777] 🔵 Starting session for USR-2176db6ebd884e798db7f0b619c7a8ea
[2025-03-30 15:13:06,475] 🔵 Starting session for USR-1f8f440f4ce84428887b38a85c69019b
[2025-03-30 15:13:07,489] 🔵 Starting session for USR-67962cb2400b42baaea1aa6ce01b6035
[2025-03-30 15:13:08,063] 🔵 Starting session for USR-db7e6e39c584450cb79b1f8938487154
[2025-03-30 15:13:09,048] 🔵 Starting session for USR-9ad8219dcec64aeebc3d770e64d31173
[2025-03-30 15:13:09,977] 🔵 Starting session for USR-deef7252c0624f62b0eb13760283478c
[2025-03-30 15:13:11,178] 🔵 Starting session for USR-1f7a6977f9774549bc7149a25d122013
[2025-03-30 15:13:12,271] 🔵 Starting session for USR-e32e83f2c5864b6699751f8e64c24b70
[2025-03-30 15:13:13,212] 🔵 Starting session for USR-15fab33baa70432e9f6e58a797307135
[2025-03-30 15:13:14,186] 🔵 Starting session for USR-0ff02e74c67640c3bcdabacb213d0909
[2025-03-30 15:13:14,283] 🚀 USR-d561f72b33a041aaa0ee09ce87873881 actions log in session 0
[2025-03-30 15:13:14,283] 🖱️ Mouse hovered for: 0.78s
[2025-03-30 15:13:14,283] 📜 Scrolled for: 2.69s
[2025-03-30 15:13:14,283] 🛒 Viewed cart for: 4.38s
[2025-03-30 15:13:14,283] ✅ Cart checkout time: 2.01s
[2025-03-30 15:13:14,283] 💳 Payment time: 0.14s
[2025-03-30 15:13:14,793] 🔵 Starting session for USR-0d4392ef392240378fec9d01e8c58437
[2025-03-30 15:13:15,552] ⏸️ Skipping USR-53fdbc7bd29147049bf60a7efdbec39e — session already running
[2025-03-30 15:13:16,798] 🔵 Starting session for USR-263fff6032344644bf0cf4d201dfedbd
[2025-03-30 15:13:18,037] 🔵 Starting session for USR-20165a94ef924d4f869486e6f58d7816
[2025-03-30 15:13:18,854] 🔵 Starting session for USR-0247b88da85349d7a1edae45553e6aa8
[2025-03-30 15:13:19,609] 🚀 USR-9943038185314ad0880ab148ca6fad62 actions log in session 0
[2025-03-30 15:13:19,610] 🖱️ Mouse hovered for: 0.45s
[2025-03-30 15:13:19,610] 📜 Scrolled for: 1.22s
[2025-03-30 15:13:19,610] 🛒 Viewed cart for: 8.1s
[2025-03-30 15:13:19,610] ✅ Cart checkout time: 10.07s
[2025-03-30 15:13:19,610] 💳 Payment time: 0.16s
[2025-03-30 15:13:19,678] 🔵 Starting session for USR-f2b5bff44a3b44f0a0a04f6228ec9557
[2025-03-30 15:13:20,641] 🔵 Starting session for USR-069bc0a557d441d797cb6147ba334647
[2025-03-30 15:13:21,065] 🚀 USR-db7e6e39c584450cb79b1f8938487154 actions log in session 0
[2025-03-30 15:13:21,065] 🖱️ Mouse hovered for: 1.55s
[2025-03-30 15:13:21,065] 📜 Scrolled for: 3.73s
[2025-03-30 15:13:21,065] 🛒 Viewed cart for: 3.18s
[2025-03-30 15:13:21,065] ✅ Cart checkout time: 4.1s
[2025-03-30 15:13:21,065] 💳 Payment time: 0.45s
[2025-03-30 15:13:21,829] 🔵 Starting session for USR-015a5c2abc0945639c08f7c38cccb9f8
[2025-03-30 15:13:22,476] 🔵 Starting session for USR-b84be888ca1e4e1582705fb27bfb5865
[2025-03-30 15:13:23,398] 🔵 Starting session for USR-3a9c256a91b24628b20cbd18108aaaa8
[2025-03-30 15:13:23,603] 🚀 USR-09857582c8bb48dd9aa1fea0464f0594 actions log in session 0
[2025-03-30 15:13:23,603] 🖱️ Mouse hovered for: 1.69s
[2025-03-30 15:13:23,603] 📜 Scrolled for: 7.58s
[2025-03-30 15:13:23,604] 🛒 Viewed cart for: 7.67s
[2025-03-30 15:13:23,604] ✅ Cart checkout time: 4.89s
[2025-03-30 15:13:23,604] 💳 Payment time: 1.18s
[2025-03-30 15:13:24,047] 🚀 USR-53fdbc7bd29147049bf60a7efdbec39e actions log in session 0
[2025-03-30 15:13:24,048] 🖱️ Mouse hovered for: 3.73s
[2025-03-30 15:13:24,048] 📜 Scrolled for: 5.23s
[2025-03-30 15:13:24,048] 🛒 Viewed cart for: 5.85s
[2025-03-30 15:13:24,048] ✅ Cart checkout time: 4.36s
[2025-03-30 15:13:24,048] 💳 Payment time: 0.0s
[2025-03-30 15:13:24,722] 🔵 Starting session for USR-e5d2d130e0734403a2e76304106c1bd0
[2025-03-30 15:13:25,980] 🔵 Starting session for USR-2fbbcf62693c4ba187e19370ce67272f
[2025-03-30 15:13:26,479] 🚀 USR-b84be888ca1e4e1582705fb27bfb5865 actions log in session 0
[2025-03-30 15:13:26,480] 🖱️ Mouse hovered for: 0.55s
[2025-03-30 15:13:26,480] 📜 Scrolled for: 1.2s
[2025-03-30 15:13:26,480] 🛒 Viewed cart for: 0.96s
[2025-03-30 15:13:26,480] ✅ Cart checkout time: 0.96s
[2025-03-30 15:13:26,480] 💳 Payment time: 0.33s
[2025-03-30 15:13:27,329] ⏸️ Skipping USR-2176db6ebd884e798db7f0b619c7a8ea — session already running
[2025-03-30 15:13:28,491] 🔵 Starting session for USR-9a5814bf745e477fb20e9a3996c33cf0
[2025-03-30 15:13:29,247] 🔵 Starting session for USR-7385897adb7f49d9ae4b3b57c8f78466
[2025-03-30 15:13:30,112] 🔵 Starting session for USR-cbaef74cf920441e9b8e0cd9247b6246
[2025-03-30 15:13:30,975] 🔵 Starting session for USR-ffa03202cd174401a944bd1b7ea3c878
[2025-03-30 15:13:31,214] 🚀 USR-15fab33baa70432e9f6e58a797307135 actions log in session 0
[2025-03-30 15:13:31,214] 🖱️ Mouse hovered for: 0.88s
[2025-03-30 15:13:31,214] 📜 Scrolled for: 4.72s
[2025-03-30 15:13:31,214] 🛒 Viewed cart for: 5.39s
[2025-03-30 15:13:31,214] ✅ Cart checkout time: 5.98s
[2025-03-30 15:13:31,214] 💳 Payment time: 0.0s
[2025-03-30 15:13:31,576] 🔵 Starting session for USR-a7198894b4b04e93b15b1ee1fdc6b068
[2025-03-30 15:13:32,181] 🚀 USR-1f7a6977f9774549bc7149a25d122013 actions log in session 0
[2025-03-30 15:13:32,181] 🖱️ Mouse hovered for: 1.64s
[2025-03-30 15:13:32,181] 📜 Scrolled for: 5.39s
[2025-03-30 15:13:32,181] 🛒 Viewed cart for: 6.47s
[2025-03-30 15:13:32,181] ✅ Cart checkout time: 7.37s
[2025-03-30 15:13:32,181] 💳 Payment time: 0.0s
[2025-03-30 15:13:32,442] 🔵 Starting session for USR-8117d82d0ced4d26b056f9d2195a73fd
[2025-03-30 15:13:33,404] ⏸️ Skipping USR-b84be888ca1e4e1582705fb27bfb5865 — session already running
[2025-03-30 15:13:33,801] 🚀 USR-263fff6032344644bf0cf4d201dfedbd actions log in session 0
[2025-03-30 15:13:33,802] 🖱️ Mouse hovered for: 0.54s
[2025-03-30 15:13:33,802] 📜 Scrolled for: 8.08s
[2025-03-30 15:13:33,802] 🛒 Viewed cart for: 3.55s
[2025-03-30 15:13:33,802] ✅ Cart checkout time: 4.05s
[2025-03-30 15:13:33,802] 💳 Payment time: 0.78s
[2025-03-30 15:13:34,401] 🔵 Starting session for USR-861e5b17993a467485f673445ec49434
[2025-03-30 15:13:35,049] 🚀 USR-9ad8219dcec64aeebc3d770e64d31173 actions log in session 0
[2025-03-30 15:13:35,049] 🖱️ Mouse hovered for: 0.16s
[2025-03-30 15:13:35,049] 📜 Scrolled for: 6.94s
[2025-03-30 15:13:35,049] 🛒 Viewed cart for: 18.9s
[2025-03-30 15:13:35,049] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:35,049] 💳 Payment time: 0.0s
[2025-03-30 15:13:35,809] 🔵 Starting session for USR-19f5c33b4b074636bfdfca3745268155
[2025-03-30 15:13:36,039] 🚀 USR-20165a94ef924d4f869486e6f58d7816 actions log in session 0
[2025-03-30 15:13:36,039] 🖱️ Mouse hovered for: 1.17s
[2025-03-30 15:13:36,039] 📜 Scrolled for: 4.97s
[2025-03-30 15:13:36,039] 🛒 Viewed cart for: 0.37s
[2025-03-30 15:13:36,039] ✅ Cart checkout time: 10.14s
[2025-03-30 15:13:36,039] 💳 Payment time: 1.34s
[2025-03-30 15:13:36,113] 🚀 USR-cbaef74cf920441e9b8e0cd9247b6246 actions log in session 0
[2025-03-30 15:13:36,113] 🖱️ Mouse hovered for: 0.91s
[2025-03-30 15:13:36,113] 📜 Scrolled for: 1.55s
[2025-03-30 15:13:36,113] 🛒 Viewed cart for: 2.15s
[2025-03-30 15:13:36,113] ✅ Cart checkout time: 1.27s
[2025-03-30 15:13:36,113] 💳 Payment time: 0.0s
[2025-03-30 15:13:36,490] 🔵 Starting session for USR-be94e622e8ff42a5a94c03aadc12edc5
[2025-03-30 15:13:37,418] 🔵 Starting session for USR-4acaf9cc761d4efdba7b74572af1ab0e
[2025-03-30 15:13:37,810] 🚀 USR-19f5c33b4b074636bfdfca3745268155 actions log in session 0
[2025-03-30 15:13:37,810] 🖱️ Mouse hovered for: 0.35s
[2025-03-30 15:13:37,810] 📜 Scrolled for: 0.83s
[2025-03-30 15:13:37,810] 🛒 Viewed cart for: 0.82s
[2025-03-30 15:13:37,810] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:37,810] 💳 Payment time: 0.0s
[2025-03-30 15:13:38,611] ⏸️ Skipping USR-0d4392ef392240378fec9d01e8c58437 — session already running
[2025-03-30 15:13:39,195] ⏸️ Skipping USR-e32e83f2c5864b6699751f8e64c24b70 — session already running
[2025-03-30 15:13:39,725] 🚀 USR-e5d2d130e0734403a2e76304106c1bd0 actions log in session 0
[2025-03-30 15:13:39,729] 🖱️ Mouse hovered for: 2.11s
[2025-03-30 15:13:39,729] 📜 Scrolled for: 2.14s
[2025-03-30 15:13:39,729] 🛒 Viewed cart for: 5.68s
[2025-03-30 15:13:39,729] ✅ Cart checkout time: 3.83s
[2025-03-30 15:13:39,729] 💳 Payment time: 0.0s
[2025-03-30 15:13:40,517] 🔵 Starting session for USR-7b862e4972014f56a12d481085312978
[2025-03-30 15:13:40,751] 🚀 USR-d74352129850480b90b1e0e081ad0581 actions log in session 0
[2025-03-30 15:13:40,751] 🖱️ Mouse hovered for: 3.07s
[2025-03-30 15:13:40,752] 📜 Scrolled for: 10.03s
[2025-03-30 15:13:40,752] 🛒 Viewed cart for: 3.54s
[2025-03-30 15:13:40,752] ✅ Cart checkout time: 19.94s
[2025-03-30 15:13:40,752] 💳 Payment time: 2.41s
[2025-03-30 15:13:41,534] 🔵 Starting session for USR-7d8e6b442bd447308a3f664c07ee5b36
[2025-03-30 15:13:42,778] ⏸️ Skipping USR-9ad8219dcec64aeebc3d770e64d31173 — session already running
[2025-03-30 15:13:43,807] ⏸️ Skipping USR-b84be888ca1e4e1582705fb27bfb5865 — session already running
[2025-03-30 15:13:44,929] 🔵 Starting session for USR-d24faf5cc7bd4c08a063a4effd906146
[2025-03-30 15:13:45,859] ⏸️ Skipping USR-9943038185314ad0880ab148ca6fad62 — session already running
[2025-03-30 15:13:45,979] 🚀 USR-ffa03202cd174401a944bd1b7ea3c878 actions log in session 0
[2025-03-30 15:13:45,980] 🖱️ Mouse hovered for: 1.83s
[2025-03-30 15:13:45,980] 📜 Scrolled for: 6.99s
[2025-03-30 15:13:45,980] 🛒 Viewed cart for: 3.53s
[2025-03-30 15:13:45,980] ✅ Cart checkout time: 2.09s
[2025-03-30 15:13:45,980] 💳 Payment time: 0.56s
[2025-03-30 15:13:46,561] 🔵 Starting session for USR-e990125956894792a0e2f82aec112af6
[2025-03-30 15:13:47,249] 🚀 USR-7385897adb7f49d9ae4b3b57c8f78466 actions log in session 0
[2025-03-30 15:13:47,249] 🖱️ Mouse hovered for: 0.13s
